package,url,license,owner
broom,https://broom.tidymodels.org/,MIT,David Robinson et al.
distill,https://rstudio.github.io/distill/,Apache 2.0,"RStudio, Inc."
dplyr,https://dplyr.tidyverse.org/,MIT,"RStudio, Inc."
forcats,https://forcats.tidyverse.org/index.html,MIT,"RStudio, Inc."
gganimate,https://gganimate.com/,MIT,Thomas Lin Pedersen
ggiraph,https://davidgohel.github.io/ggiraph/,GPL-3,David Gohel et al.
ggplot2,https://ggplot2.tidyverse.org/index.html,MIT,"RStudio, Inc."
glue,https://glue.tidyverse.org/,MIT,"RStudio, Inc."
gtsummary,https://www.danieldsjoberg.com/gtsummary/index.html,MIT,Daniel D. Sjoberg et al.
ipumsr,https://tech.popdata.org/ipumsr/,MPL-2.0,IPUMS
kableExtra,https://haozhu233.github.io/kableExtra/,MIT,Hao Zhu
knitr,https://yihui.org/knitr/,CC BY-NC-SA 4.0,Yihui Xie
lubridate,https://lubridate.tidyverse.org/index.html,GPL >= 2,"Garrett Grolemund, Hadley Wickham"
pipe,https://magrittr.tidyverse.org/,MIT,"RStudio, Inc."
plotly,https://plotly.com/r/,MIT,"Plotly, Inc."
purrr,https://purrr.tidyverse.org/index.html,GPL-3,"RStudio, Inc."
Rlogo,https://cran.r-project.org/,GPL-2 | GPL-3,R-project.org
rsample,https://rsample.tidymodels.org/,MIT,"RStudio, Inc."
sf,https://r-spatial.github.io/sf/index.html,GPL-2 | MIT,Edzer Pebesma
shiny,https://shiny.rstudio.com/,GPL-3,"RStudio, Inc."
showtext,https://github.com/yixuan/showtext,Apache 2.0,Yixuan Qiu
srvyr,http://gdfe.co/srvyr/index.html,GPL-2 | GPL-3,Greg Freedman Ellis
stringr,https://stringr.tidyverse.org/index.html,MIT,"RStudio, Inc."
terra,https://rspatial.github.io/terra/index.html,GPL >=3,Robert J. Hijmans et al.
tidymodels,https://tidymodels.tidymodels.org/index.html,MIT,"RStudio, Inc."
tidyr,https://tidyr.tidyverse.org/index.html,MIT,"RStudio, Inc."
tidyverse,https://tidyverse.tidyverse.org/index.html,MIT,"RStudio, Inc."
survival,https://github.com/therneau/survival,LGPL >=2,Terry M. Therneau et al.
cowplot,https://wilkelab.org/cowplot/,GPL-2,Claus O. Wilke
reticulate,https://rstudio.github.io/reticulate/,Apache 2.0,Tomasz Kalinowski et al.
leaflet,https://leafletjs.com/,BSD 2-Clause,Vladimir Agafonkin
rvest,https://rvest.tidyverse.org/,MIT,"RStudio, Inc."
pagedown,https://github.com/rstudio/pagedown,MIT,"RStudio, Inc."